AggGroup,scale_factor,FractionalChange_mean,FractionalChange_std,RatioChange_mean ,RatioChange_std,Production_scenario_mean ,Production_scenario_std  ,Production_base_mean ,Production_base_std
cepahlopods,1.1,-0.049300566,0.028227743,0.950699434,0.028227743,25.63041191,9.209852799,26.86065739,9.368870188
benthos_epifauna,1.1,-0.001431128,0.00156491,0.998568872,0.00156491,116.2758054,40.03746342,116.4295319,40.05264447
benthos_filter_feeders,1.1,-0.000263696,0.000620746,0.999736304,0.000620746,392.0822651,182.9455698,392.2103859,183.1136223
benthos_infauna,1.1,-0.000557703,0.000956004,0.999442297,0.000956004,105.8640269,47.44000568,105.9374784,47.59256127
seabirds,1.1,-0.010955577,0.007026089,0.989044423,0.007026089,0.065089016,0.030906794,0.065782148,0.031180238
turtle,1.1,-0.01547538,0.045618297,0.98452462,0.045618297,0.007360164,0.004424165,0.007411844,0.004272574
odontocetes,1.1,-0.029617085,0.016128427,0.970382915,0.016128427,0.497673388,0.295116899,0.513426597,0.305648213
baleen_whales,1.1,-0.106966208,0.094600741,0.893033792,0.094600741,0.000133384,8.44E-05,0.000147937,8.85E-05
fish_eggs,1.1,-0.009414265,0.005266204,0.990585735,0.005266204,5.935573907,1.529514165,5.989398591,1.531216769
detritus_offal,1.1,-0.007410053,0.006003745,0.992589947,0.006003745,0.817015707,0.740683393,0.82187267,0.743135754
fisheries,1.1,-0.007410053,0.006003745,0.992589947,0.006003745,3.787907705,2.571316112,3.810652448,2.578020199
pelagic_detritus,1.1,-0.000210139,0.000253796,0.999789861,0.000253796,1280.471793,247.9893586,1280.736781,248.0074371
benthic_detritus,1.1,9.09E-05,0.000338332,1.000090867,0.000338332,562.0606774,72.20136368,562.0125949,72.21826325
NO3,1.15,0,0,0,0,0,0,0,0
pelagic_NH4,1.15,-0.001316127,0.000820585,0.998683873,0.000820585,3287.034568,480.7040889,3291.276177,480.7234576
benthic_NH4,1.15,0.002044913,0.00131261,1.002044913,0.00131261,1977.636718,419.520582,1973.755627,419.4168497
phytoplankton,1.15,0,0,1,0,6145.228686,1.42E-10,6145.228686,1.42E-10
microphytobethos,1.15,0,0,1,0,706.6794,1.26E-11,706.6794,1.26E-11
macroalgae_other,1.15,0,0,1,0,3492.89766,7.83E-11,3492.89766,7.83E-11
microbe,1.15,-8.72E-05,0.000304269,0.99991281,0.000304269,1442.751616,586.4011976,1442.871025,586.4360943
micro_zooplankton,1.15,-0.000171695,0.000306416,0.999828305,0.000306416,1399.510074,803.7829755,1399.708761,803.840665
meso_zooplankton,1.15,-0.00045033,5.75E-04,0.99954967,5.75E-04,5143.854124,803.9824596,5145.935328,803.2003794
macro_zooplankton,1.15,-0.012940379,0.011936665,0.987059621,0.011936665,55.36284082,18.25417581,56.12382074,18.59171186
eupahusiids,1.15,-0.003012312,0.004135577,0.996987688,0.004135577,23.03334785,14.09094018,23.0865655,14.09379831
gelatinous_zoop,1.15,-0.011560711,0.010656537,0.988439289,0.010656537,239.3083104,123.6404088,241.7960124,123.9773978
large_jellyfish,1.15,0.139161312,0.010421833,1.139161312,0.010421833,176.2278638,75.63857949,154.5383302,66.01635227
gulf_menhaden,1.15,-0.010833707,0.009606598,0.989166293,0.009606598,700.317145,361.072967,706.4577296,361.1212632
forage_fish,1.15,-0.027734269,0.019372765,0.972265731,0.019372765,89.46712945,45.97624951,92.09096738,47.23935341
pelagic_fish_planktivore,1.15,-0.016786538,0.010694379,0.983213462,0.010694379,253.336875,76.61558318,257.479067,77.47823715
demersal_fish_piscivore,1.15,-0.009975803,0.007282412,0.990024197,0.007282412,8.586803426,2.725093554,8.673111889,2.748601651
demersal_fish_benthivore,1.15,-0.013653264,0.00983992,0.986346736,0.00983992,144.2037197,39.11248078,146.2283101,39.73715399
pelagic_fish_apex_predator,1.15,-0.014595581,0.007822759,0.985404419,0.007822759,3.762298456,1.471125975,3.815147456,1.483397213
pelagic_fish_piscivore,1.15,-0.019758098,0.010727998,0.980241902,0.010727998,25.59370739,7.854460021,26.09034044,7.925384366
cepahlopods,1.15,-0.064033461,0.034259724,0.935966539,0.034259724,25.24127073,9.113557904,26.86065739,9.368870188
benthos_epifauna,1.15,-0.002142546,0.002346594,0.997857454,0.002346594,116.1993985,40.03022957,116.4295319,40.05264447
benthos_filter_feeders,1.15,-0.000395337,0.000930948,0.999604663,0.000930948,392.0182943,182.8622304,392.2103859,183.1136223
benthos_infauna,1.15,-0.000836345,0.001433753,0.999163655,0.001433753,105.8273301,47.36426863,105.9374784,47.59256127
seabirds,1.15,-0.016211679,0.010535673,0.983788321,0.010535673,0.064755811,0.030776735,0.065782148,0.031180238
turtle,1.15,-0.014890509,0.055366701,0.985109491,0.055366701,0.007381158,0.004500448,0.007411844,0.004272574
odontocetes,1.15,-0.039419988,0.020910954,0.960580012,0.020910954,0.492357418,0.29137882,0.513426597,0.305648213
baleen_whales,1.15,-0.126762569,0.10521829,0.873237431,0.10521829,0.000130277,8.28E-05,0.000147937,8.85E-05
fish_eggs,1.15,-0.013796763,0.007888444,0.986203237,0.007888444,5.910570109,1.529063389,5.989398591,1.531216769
detritus_offal,1.15,-0.01110252,0.008999898,0.98889748,0.008999898,0.814593325,0.739467686,0.82187267,0.743135754
fisheries,1.15,-0.01110252,0.008999898,0.98889748,0.008999898,3.776563904,2.568008628,3.810652448,2.578020199
pelagic_detritus,1.15,-0.000314489,0.000380547,0.999685511,0.000380547,1280.340207,247.9805339,1280.736781,248.0074371
benthic_detritus,1.15,0.000137399,0.000498739,1.000137399,0.000498739,562.0853333,72.19317376,562.0125949,72.21826325
NO3,1.2,0,0,0,0,0,0,0,0
pelagic_NH4,1.2,-0.001715841,0.001085958,0.998284159,0.001085958,3285.748903,480.7175346,3291.276177,480.7234576
benthic_NH4,1.2,0.002656522,0.001733238,1.002656522,0.001733238,1978.798353,419.5589029,1973.755627,419.4168497
phytoplankton,1.2,0,0,1,0,6145.228686,1.42E-10,6145.228686,1.42E-10
microphytobethos,1.2,0,0,1,0,706.6794,1.26E-11,706.6794,1.26E-11
macroalgae_other,1.2,0,0,1,0,3492.89766,7.83E-11,3492.89766,7.83E-11
microbe,1.2,-0.000116151,0.000405217,0.999883849,0.000405217,1442.711977,586.3896912,1442.871025,586.4360943
micro_zooplankton,1.2,-0.00022885,0.00040842,0.99977115,0.00040842,1399.443938,803.7638215,1399.708761,803.840665
meso_zooplankton,1.2,-0.000600371,0.000766982,0.999399629,0.000766982,5143.160739,804.2440565,5145.935328,803.2003794
macro_zooplankton,1.2,-0.017223458,0.015917196,0.982776542,0.015917196,55.11075467,18.14906644,56.12382074,18.59171186
eupahusiids,1.2,-0.004015571,0.005513439,0.995984429,0.005513439,23.015631,14.09007183,23.0865655,14.09379831
gelatinous_zoop,1.2,-0.01540267,0.01420067,0.98459733,0.01420067,238.4811838,123.5384955,241.7960124,123.9773978
large_jellyfish,1.2,0.181628064,0.016198475,1.181628064,0.016198475,182.9312269,78.78435318,154.5383302,66.01635227
gulf_menhaden,1.2,-0.014443156,0.012807375,0.985556844,0.012807375,698.2713754,361.0675449,706.4577296,361.1212632
forage_fish,1.2,-0.036790779,0.025820827,0.963209221,0.025820827,88.60494873,45.57866413,92.09096738,47.23935341
pelagic_fish_planktivore,1.2,-0.021129443,0.013717225,0.978870557,0.013717225,252.237655,76.33203636,257.479067,77.47823715
demersal_fish_piscivore,1.2,-0.013144074,0.009698393,0.986855926,0.009698393,8.559370311,2.717957021,8.673111889,2.748601651
