AggGroup,scale_factor,FractionalChange_mean,FractionalChange_std,RatioChange_mean ,RatioChange_std,Production_scenario_mean ,Production_scenario_std  ,Production_base_mean ,Production_base_std
demersal_fish_benthivore,1.1,-0.317719547,0.14109669,0.682280453,0.14109669,15.65128693,1.21E+01,21.28155873,1.23E+01
benthos_infauna,1.1,-1.22E-03,0.000618307,0.998783257,0.000618307,36.14105406,14.27869309,36.18233629,14.28859015
benthos_filter_feeders,1.1,-0.080844458,0.07526106,0.919155542,0.07526106,12.58600549,6.87E+00,13.58341774,7.05E+00
benthos_detritovores,1.1,-0.004271358,5.32E-03,0.995728642,5.32E-03,12.11107879,5.16E+00,12.1574371,5.16E+00
benthos_epifauna,1.1,-0.179571632,0.140309445,0.820428368,0.140309445,32.98230611,24.24765231,39.50885962,25.4317303
seabirds,1.1,-2.94E-01,1.49E-01,0.705753134,1.49E-01,1.729599765,1.393682148,2.285047606,1.437794007
baleen_whales,1.1,-3.04E-01,1.79E-01,0.696052212,1.79E-01,5.131287064,4.608301618,6.809770273,4.739024734
odontocetes,1.1,-0.310769891,0.142326159,0.689230109,0.142326159,1.094839529,0.99281826,1.46536547,1.075179782
pinnipeds,1.1,-0.295526004,0.133827288,0.704473996,0.133827288,3.501547702,2.728840955,4.660956052,2.89460934
detritus_offal,1.1,-0.298089583,0.135209237,0.701910417,0.135209237,3.410721956,3.026017505,4.480703671,3.163909612
fisheries,1.1,-0.298089583,0.135209237,0.701910417,0.135209237,5.222509188,4.622526423,6.862650369,4.827703833
pelagic_detritus,1.1,1.43E-18,1.73E-16,1,1.82E-16,1511.293168,710.4968137,1511.293168,710.4968137
benthic_detritus,1.1,-0.001216743,0.000618307,0.998783257,0.000618307,73.53182287,16.66999119,73.61645124,16.66907614
NO3,1.15,0,0,0,0,0,0,0,0
pelagic_NH4,1.15,0.006526764,0.002310248,1.006526764,0.002310248,5627.723638,195.982945,5591.222526,194.1176579
benthic_NH4,1.15,-0.205815036,0.083571301,0.794184964,0.083571301,149.1065197,65.75894308,183.7575339,63.90994748
lg_phytoplankton,1.15,0,0,1,0,1560.383071,1.89E-11,1560.383071,1.89E-11
sm_phytoplankton,1.15,0,0,1,0,4957.843648,4.19E-11,4957.843648,4.19E-11
macroalgae_&_other,1.15,0,0,1,0,2.993160008,5.82E-14,2.993160008,5.82E-14
outside-production,1.15,0,0,1,0,4,0,4,0
