AggGroup,scale_factor,FractionalChange_mean,FractionalChange_std,RatioChange_mean ,RatioChange_std,Production_scenario_mean ,Production_scenario_std  ,Production_base_mean ,Production_base_std
cepahlopods,1.1,-0.009508104,0.006445541,0.990491896,0.006445541,26.59309484,9.232906162,26.86065739,9.368870188
benthos_epifauna,1.1,-0.002094548,0.001319707,0.997905452,0.001319707,116.1963556,39.9993131,116.4295319,40.05264447
benthos_filter_feeders,1.1,-0.000243521,0.000224321,0.999756479,0.000224321,392.1237982,183.0991332,392.2103859,183.1136223
benthos_infauna,1.1,-0.00070046,0.000461065,0.99929954,0.000461065,105.8626448,47.5619629,105.9374784,47.59256127
seabirds,1.1,0.017146839,0.017955515,1.017146839,0.017955515,0.066967518,0.032064189,0.065782148,0.031180238
turtle,1.1,-0.005385202,0.004632741,0.994614798,0.004632741,0.007373347,0.004249347,0.007411844,0.004272574
odontocetes,1.1,-0.004915961,0.005380676,0.995084039,0.005380676,0.510387927,0.302949073,0.513426597,0.305648213
baleen_whales,1.1,-0.002396037,0.005941191,0.997603963,0.005941191,0.000147497,8.81E-05,0.000147937,8.85E-05
fish_eggs,1.1,-0.001640736,0.001518816,0.998359264,0.001518816,5.979495703,1.530020251,5.989398591,1.531216769
detritus_offal,1.1,-0.004730926,0.003863553,0.995269074,0.003863553,0.818669683,0.741735178,0.82187267,0.743135754
fisheries,1.1,-0.004730926,0.003863553,0.995269074,0.003863553,3.795910954,2.574550025,3.810652448,2.578020199
pelagic_detritus,1.1,-0.000174666,0.000172365,0.999825334,0.000172365,1280.512371,247.9631909,1280.736781,248.0074371
benthic_detritus,1.1,-9.13E-05,0.000149243,0.999908659,0.000149243,561.9612402,72.21145019,562.0125949,72.21826325
NO3,1.15,0,0,0,0,0,0,0,0
pelagic_NH4,1.15,0.000937856,0.000663629,1.000937856,0.000663629,3294.274169,480.5601937,3291.276177,480.7234576
benthic_NH4,1.15,-0.001248156,0.000815373,0.998751844,0.000815373,1971.367325,419.2616489,1973.755627,419.4168497
phytoplankton,1.15,0,0,1,0,6145.228686,1.42E-10,6145.228686,1.42E-10
microphytobethos,1.15,0,0,1,0,706.6794,1.26E-11,706.6794,1.26E-11
macroalgae_other,1.15,0,0,1,0,3492.89766,7.83E-11,3492.89766,7.83E-11
microbe,1.15,-0.000406176,0.000300419,0.999593824,0.000300419,1442.342591,586.3582804,1442.871025,586.4360943
micro_zooplankton,1.15,-0.000155941,0.000185563,0.999844059,0.000185563,1399.537341,803.80133,1399.708761,803.840665
meso_zooplankton,1.15,-0.000114338,8.37E-05,0.999885662,8.37E-05,5145.369412,803.2234202,5145.935328,803.2003794
macro_zooplankton,1.15,-0.010298497,0.008352383,0.989701503,0.008352383,55.50980181,18.27229364,56.12382074,18.59171186
eupahusiids,1.15,-0.002189515,0.003191197,0.997810485,0.003191197,23.04914751,14.09258568,23.0865655,14.09379831
gelatinous_zoop,1.15,-0.006772011,0.007155644,0.993227989,0.007155644,240.3309671,123.7599201,241.7960124,123.9773978
large_jellyfish,1.15,-0.015933962,0.01141414,0.984066038,0.01141414,152.0483854,65.01020564,154.5383302,66.01635227
gulf_menhaden,1.15,-0.006695998,0.006026258,0.993304002,0.006026258,702.649119,361.2513416,706.4577296,361.1212632
forage_fish,1.15,0.149469223,0.00031109,1.149469223,0.00031109,105.8551686,54.29500403,92.09096738,47.23935341
pelagic_fish_planktivore,1.15,-0.008047039,0.006662298,0.991952961,0.006662298,255.3975911,76.76629575,257.479067,77.47823715
