AggGroup,scale_factor,FractionalChange_mean,FractionalChange_std,RatioChange_mean ,RatioChange_std,Production_scenario_mean ,Production_scenario_std  ,Production_base_mean ,Production_base_std
benthos_filter_feeders,1.1,-0.001777775,0.006036939,0.998222225,0.006036939,41.36084209,2.13E+01,41.43044096,2.13E+01
benthos_detritovores,1.1,0.000116675,0.000766595,1.000116675,0.000766595,14.87788179,8.69E+00,14.87467155,8.68E+00
benthos_epifauna,1.1,-0.006785491,0.005615698,0.993214509,0.005615698,147.5549234,4.41E+01,148.5500371,4.43E+01
seabirds,1.1,-3.74E-03,0.002220344,0.996258764,0.002220344,122.635324,57.26962157,123.0424215,57.4027364
baleen_whales,1.1,-0.017608552,0.012250411,0.982391448,0.012250411,5.111868136,2.61E+00,5.193532375,2.63E+00
odontocetes,1.1,-0.010526593,8.80E-03,0.989473407,8.80E-03,2.82350817,1.41E+00,2.854661558,1.43E+00
pinnipeds,1.1,-0.008784998,0.005169403,0.991215002,0.005169403,4.94055092,2.593199447,4.979887449,2.605427862
detritus_offal,1.1,-2.31E-03,1.07E-03,0.9976926,1.07E-03,204.0376467,59.73396548,204.4966676,59.82549715
fisheries,1.1,-1.33E-02,8.06E-03,0.986680838,8.06E-03,8.421018031,3.640193084,8.528047162,3.667854936
pelagic_detritus,1.1,-0.000740084,0.000561824,0.999259916,0.000561824,1385.190387,418.932414,1386.121719,419.0048504
benthic_detritus,1.1,0.001742881,0.000812156,1.001742881,0.000812156,248.8734536,39.10158847,248.4481512,39.08110367
NO3,1.15,0,0,0,0,0,0,0,0
pelagic_NH4,1.15,-0.001248025,0.000617186,0.998751975,0.000617186,3799.514925,417.6522168,3804.15788,417.2685096
benthic_NH4,1.15,5.49E-05,0.000737174,1.000054905,0.000737174,1642.743266,328.170661,1642.694366,328.398786
lg_phytoplankton,1.15,0,0,1,0,7511.602896,1.78E-10,7511.602896,1.78E-10
sm_phytoplankton,1.15,0,0,1,0,1022.827288,9.90E-12,1022.827288,9.90E-12
micro-zooplankton,1.15,-0.000571901,0.00044674,0.999428099,0.00044674,4281.8669,1319.931622,4284.182856,1320.413852
