AggGroup,scale_factor,FractionalChange_mean,FractionalChange_std,RatioChange_mean ,RatioChange_std,Production_scenario_mean ,Production_scenario_std  ,Production_base_mean ,Production_base_std
pelagicNH4,1.15,-0.003295202,0.00207055,0.996704798,0.00207055,6222.790883,6.21E+02,6242.703783,6.16E+02
benthicNH4,1.15,1.11E-02,0.005879945,1.011115712,0.005879945,901.5625372,258.7399058,891.7739353,256.3127934
lg_phytoplankton,1.15,0,0,1,0,8078.9745,2.15E-10,8078.9745,2.15E-10
sm_phytoplankton,1.15,0,0.00E+00,1,0.00E+00,3263.49,7.46E-11,3263.49,7.46E-11
microZoop,1.15,0.000187758,0.000168947,1.000187758,0.000168947,5075.573108,1130.241888,5074.712771,1130.412196
mesoZoop,1.15,1.17E-05,9.66E-06,1.000011718,9.66E-06,2698.214963,971.0977722,2698.185147,971.0904056
macroZoop,1.15,2.30E-05,2.94E-05,1.000022969,2.94E-05,1199.428343,530.1639896,1199.405317,530.1613163
gelatinousZoop,1.15,-0.080754654,0.088005303,0.919245346,0.088005303,0.016707441,0.012655346,0.018369378,0.013869829
jellyfish,1.15,0.143850796,0.006922278,1.143850796,0.006922278,417.5230954,225.6093403,364.4933266,196.4193074
macrobenthos,1.15,0.003235661,0.002295091,1.003235661,0.002295091,14.18669956,17.62259052,14.14050134,17.56034401
forage_fish,1.15,-0.027124701,0.022423209,0.972875299,0.022423209,1407.108553,587.7360851,1438.951543,586.5548569
mesopelagic,1.15,-0.044773,0.036849049,0.955227,0.036849049,164.9318051,84.45070108,172.1428689,86.6667051
cephalopods,1.15,-0.036467422,0.026058282,0.963532578,0.026058282,34.30905083,24.59245452,35.49804108,25.28956206
pelagicFishPlanktivore,1.15,-0.053965379,0.060856539,0.946034621,0.060856539,117.7955104,69.84606469,124.8972703,73.6880428
pelagicFishPiscivore,1.15,-0.03208285,0.020904932,0.96791715,0.020904932,128.4538872,68.96443552,132.3813448,70.25997706
demersalFishPiscivore,1.15,-0.033510823,0.02574932,0.966489177,0.02574932,24.68563827,10.18070239,25.47973901,10.32246111
demersalFishBenthivore,1.15,-0.034051291,0.047578005,0.965948709,0.047578005,91.74750241,43.84478021,95.06010572,45.08407423
pelagicFishApexPred,1.15,-0.030778949,0.018808004,0.969221051,0.018808004,0.155096847,0.108303432,0.159640314,0.110636538
seabirds,1.15,-0.031102081,0.027060384,0.968897919,0.027060384,3.39517364,2.505214785,3.48130731,2.536373638
odontocetes,1.15,-0.030444934,0.024226085,0.969555066,0.024226085,4.381301427,2.16113617,4.507419244,2.190963303
turtle,1.15,0.085664271,0.055520047,1.085664271,0.055520047,0.001289077,0.001297567,0.001175351,0.001168638
detritusOffal,1.15,-0.027124701,0.022423209,0.972875299,0.022423209,561.984502,262.9082928,574.7016749,263.599928
fisheries,1.15,-0.029288181,0.021594011,0.970711819,0.021594011,39.98667998,1.79E+01,41.02754063,1.79E+01
pelagic detritus,1.15,0.000152204,0.000131976,1.000152204,0.000131976,2368.235049,674.3253239,2367.899206,674.3131049
benthic detritus,1.15,0.003235661,0.002295091,1.003235661,0.002295091,377.6962356,65.05472905,376.4783443,64.8256998
NO3,1.2,0,0,0,0,0,0,0,0
pelagicNH4,1.2,-0.004378603,0.00275729,0.995621397,0.00275729,6216.246981,622.3553387,6242.703783,616.3012919
benthicNH4,1.2,0.014764078,0.007826082,1.014764078,0.007826082,904.7799271,259.5755672,891.7739353,256.3127934
lg_phytoplankton,1.2,0,0,1,0,8078.9745,2.15E-10,8078.9745,2.15E-10
sm_phytoplankton,1.2,0,0,1,0,3263.49,7.46E-11,3263.49,7.46E-11
microZoop,1.2,0.000249466,0.00022459,1.000249466,0.00022459,5075.855471,1130.184806,5074.712771,1130.412196
mesoZoop,1.2,1.56E-05,1.28E-05,1.000015565,1.28E-05,2698.224772,9.71E+02,2698.185147,9.71E+02
macroZoop,1.2,3.05E-05,3.89E-05,1.000030492,3.89E-05,1199.435875,5.30E+02,1199.405317,5.30E+02
gelatinousZoop,1.2,-0.107108119,0.113429736,0.892891881,0.113429736,0.016164035,1.24E-02,0.018369378,1.39E-02
jellyfish,1.2,0.190936971,0.009765727,1.190936971,0.009765727,434.9222505,235.1669407,364.4933266,196.4193074
macrobenthos,1.2,0.004296623,0.00303703,1.004296623,0.00303703,14.20188201,17.64317341,14.14050134,17.56034401
forage_fish,1.2,-0.035965778,0.02980682,0.964034222,0.02980682,1396.71155,588.2113383,1438.951543,586.5548569
mesopelagic,1.2,-0.059592825,0.048719355,0.940407175,0.048719355,162.5487267,83.8204901,172.1428689,86.6667051
cephalopods,1.2,-0.04853801,0.034292427,0.95146199,0.034292427,33.91358715,24.36948497,35.49804108,25.28956206
pelagicFishPlanktivore,1.2,-0.07180784,0.080835157,0.92819216,0.080835157,115.4380956,68.81875968,124.8972703,73.6880428
pelagicFishPiscivore,1.2,-0.042696222,0.027752315,0.957303778,0.027752315,127.1532624,68.5549609,132.3813448,70.25997706
demersalFishPiscivore,1.2,-0.044565597,0.034169471,0.955434403,0.034169471,24.42340534,10.14027111,25.47973901,10.32246111
demersalFishBenthivore,1.2,-0.045127472,0.061044281,0.954872528,0.061044281,90.67191739,43.5445188,95.06010572,45.08407423
pelagicFishApexPred,1.2,-0.040928565,0.024903076,0.959071435,0.024903076,0.15359296,0.107546798,0.159640314,0.110636538
seabirds,1.2,-0.041273603,0.03591629,0.958726397,0.03591629,3.366978677,2.495305654,3.48130731,2.536373638
odontocetes,1.2,-0.040398585,0.031349876,0.959601415,0.031349876,4.340016257,2.151973856,4.507419244,2.190963303
turtle,1.2,0.113788753,0.073252711,1.113788753,0.073252711,0.001326572,0.001342089,0.001175351,0.001168638
detritusOffal,1.2,-0.035965778,0.02980682,0.964034222,0.02980682,557.8280722,262.7204194,574.7016749,263.599928
fisheries,1.2,-0.038872194,0.028631459,0.961127806,0.028631459,39.64524392,17.834927,41.02754063,17.93291297
pelagic detritus,1.2,0.000202208,0.000175373,1.000202208,0.000175373,2368.345283,674.329088,2367.899206,674.3131049
benthic detritus,1.2,0.004296623,0.00303703,1.004296623,0.00303703,378.0959774,65.1345079,376.4783443,64.8256998
NO3,1.25,0,0,0,0,0,0,0,0
pelagicNH4,1.25,-0.005456097,0.003437255,0.994543903,0.003437255,6209.73868,623.9126188,6242.703783,616.3012919
benthicNH4,1.25,0.018396633,0.009762265,1.018396633,0.009762265,907.9828457,260.4180888,891.7739353,256.3127934
lg_phytoplankton,1.25,0,0,1,0,8078.9745,2.15E-10,8078.9745,2.15E-10
sm_phytoplankton,1.25,0,0,1,0,3263.49,7.46E-11,3263.49,7.46E-11
microZoop,1.25,0.000310784,0.000279151,1.000310784,0.000279151,5076.136085,1130.128014,5074.712771,1130.412196
mesoZoop,1.25,1.94E-05,1.59E-05,1.000019383,1.59E-05,2698.234509,971.1027147,2698.185147,971.0904056
macroZoop,1.25,3.80E-05,4.85E-05,1.000037979,4.85E-05,1199.443372,530.1657109,1199.405317,530.1613163
gelatinousZoop,1.25,-0.132932126,0.136804915,0.867067874,0.136804915,0.015631213,0.012126821,0.018369378,0.013869829
jellyfish,1.25,0.237821797,0.012991841,1.237821797,0.012991841,452.2075009,244.5287285,364.4933266,196.4193074
macrobenthos,1.25,0.005350642,0.00377156,1.005350642,0.00377156,14.21697527,17.66371249,14.14050134,17.56034401
forage_fish,1.25,-0.044766264,0.037182607,0.955233736,0.037182607,1386.357258,588.7369379,1438.951543,586.5548569
mesopelagic,1.25,-0.074270622,0.060052606,0.925729378,0.060052606,160.1996824,83.24808485,172.1428689,86.6667051
cephalopods,1.25,-0.060558239,0.042449698,0.939441761,0.042449698,33.51939574,2.42E+01,35.49804108,2.53E+01
pelagicFishPlanktivore,1.25,-0.089449919,0.100081742,0.910550081,0.100081742,113.0987195,6.79E+01,124.8972703,7.37E+01
pelagicFishPiscivore,1.25,-0.053254613,0.034438604,0.946745387,0.034438604,125.8571697,6.82E+01,132.3813448,7.03E+01
demersalFishPiscivore,1.25,-0.055519119,0.042268739,0.944480881,0.042268739,24.16311714,10.10202474,25.47973901,10.32246111
demersalFishBenthivore,1.25,-0.055958466,0.073769935,0.944041534,0.073769935,89.6136491,43.2899557,95.06010572,45.08407423
pelagicFishApexPred,1.25,-0.051020248,0.030857721,0.948979752,0.030857721,0.152094459,0.106799367,0.159640314,0.110636538
seabirds,1.25,-0.051382332,0.044737202,0.948617668,0.044737202,3.338922579,2.485574163,3.48130731,2.536373638
odontocetes,1.25,-0.050266983,0.038386307,0.949733017,0.038386307,4.299093707,2.143188531,4.507419244,2.190963303
turtle,1.25,0.14182216,0.090956715,1.14182216,0.090956715,0.001363953,0.001387305,0.001175351,0.001168638
detritusOffal,1.25,-0.044766264,0.037182607,0.955233736,0.037182607,553.6874684,262.5550113,574.7016749,263.599928
fisheries,1.25,-0.048387777,0.035579787,0.951612223,0.035579787,39.30549655,17.8151289,41.02754063,17.93291297
pelagic detritus,1.25,0.000251905,0.000218192,1.000251905,0.000218192,2368.454758,674.3324145,2367.899206,674.3131049
benthic detritus,1.25,0.005350642,0.00377156,1.005350642,0.00377156,378.493234,65.2152793,376.4783443,64.8256998
NO3,1.3,0,0,0,0,0,0,0,0
pelagicNH4,1.3,-0.006524422,0.004101561,0.993475578,0.004101561,6203.283754,625.4584375,6242.703783,616.3012919
benthicNH4,1.3,0.02200541,0.011670168,1.02200541,0.011670168,911.1660526,261.2725179,891.7739353,256.3127934
lg_phytoplankton,1.3,0,0,1,0,8078.9745,2.15E-10,8078.9745,2.15E-10
sm_phytoplankton,1.3,0,0,1,0,3263.49,7.46E-11,3263.49,7.46E-11
microZoop,1.3,0.000371382,0.000330788,1.000371382,0.000330788,5076.413767,1130.072584,5074.712771,1130.412196
mesoZoop,1.3,2.32E-05,1.90E-05,1.000023164,1.90E-05,2698.244142,971.1051016,2698.185147,971.0904056
macroZoop,1.3,4.54E-05,5.79E-05,1.00004539,5.79E-05,1199.4508,530.1665834,1199.405317,530.1613163
gelatinousZoop,1.3,-0.158070298,0.157840847,0.841929702,0.157840847,0.015116971,0.011928362,0.018369378,0.013869829
jellyfish,1.3,0.284470984,0.016746718,1.284470984,0.016746718,469.3331847,253.5588073,364.4933266,196.4193074
macrobenthos,1.3,0.006394584,0.004486944,1.006394584,0.004486944,14.23200453,17.68428207,14.14050134,17.56034401
forage_fish,1.3,-0.053510949,0.044512999,0.946489051,0.044512999,1376.063681,5.89E+02,1438.951543,5.87E+02
mesopelagic,1.3,-0.088784662,0.070853771,0.911215338,0.070853771,157.8789552,82.70836354,172.1428689,86.6667051
cephalopods,1.3,-0.072532388,0.050584245,0.927467612,0.050584245,33.12649915,23.93908793,35.49804108,25.28956206
pelagicFishPlanktivore,1.3,-0.106666972,0.117447977,0.893333028,0.117447977,110.8019653,67.0916243,124.8972703,73.6880428
pelagicFishPiscivore,1.3,-0.063734201,0.040928567,0.936265799,0.040928567,124.5676138,67.76432281,132.3813448,70.25997706
demersalFishPiscivore,1.3,-0.066321295,0.049928772,0.933678705,0.049928772,23.90617145,10.0652872,25.47973901,10.32246111
demersalFishBenthivore,1.3,-0.066464433,0.085338279,0.933535567,0.085338279,88.58152986,43.07349102,95.06010572,45.08407423
pelagicFishApexPred,1.3,-0.061050328,0.036750347,0.938949672,0.036750347,0.150602906,0.106062148,0.159640314,0.110636538
seabirds,1.3,-0.061367486,0.053262813,0.938632514,0.053262813,3.311088859,2.476033488,3.48130731,2.536373638
odontocetes,1.3,-0.060040171,0.045365314,0.939959829,0.045365314,4.258498448,2.13E+00,4.507419244,2.19E+00
turtle,1.3,0.169778174,0.108110109,1.169778174,0.108110109,0.001401272,1.43E-03,0.001175351,1.17E-03
detritusOffal,1.3,-0.053510949,0.044512999,0.946489051,0.044512999,549.5696414,2.62E+02,574.7016749,2.64E+02
fisheries,1.3,-0.057815801,0.042432472,0.942184199,0.042432472,38.96845985,17.796428,41.02754063,17.93291297
pelagic detritus,1.3,0.000301073,0.000259393,1.000301073,0.000259393,2368.563107,674.3356443,2367.899206,674.3131049
benthic detritus,1.3,0.006394584,0.004486944,1.006394584,0.004486944,378.8865305,65.29431635,376.4783443,64.8256998
NO3,1.35,0,0,0,0,0,0,0,0
pelagicNH4,1.35,-0.007575939,0.004732568,0.992424061,0.004732568,6196.93029,626.9893868,6242.703783,616.3012919
benthicNH4,1.35,0.025575767,0.013544359,1.025575767,0.013544359,914.3148823,262.1297034,891.7739353,256.3127934
